date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2022-03-22 21:41:08.12 23.3330 121.4178 19.32 5.03 99 3.90 46 0.24 0.10 0.10 F 285 B
2022-03-22 21:44:08.48 23.3303 121.4038 18.50 4.01 82 5.10 77 0.29 0.20 0.10 F 137 B
2022-03-22 22:21:24.32 23.4935 121.4768 23.94 4.27 99 13.40 33 0.31 0.20 0.20 F 304 B
2022-03-22 22:26:17.98 23.3743 121.4457 24.98 4.44 99 6.40 44 0.34 0.10 0.10 F 282 B
2022-03-22 22:43:24.72 23.4148 121.4618 25.59 4.64 99 11.00 58 0.36 0.10 0.10 F 222 B
2022-03-22 22:43:49.52 23.4258 121.4363 22.86 4.40 45 12.00 153 0.33 0.20 0.30 F 75 C
2022-03-22 23:08:37.29 23.3280 121.4095 19.49 4.28 99 4.40 36 0.35 0.10 0.10 F 211 B
2022-03-22 23:09:48.23 23.3260 121.4015 19.07 4.08 96 5.20 73 0.31 0.10 0.10 F 156 B
2022-03-23 00:05:02.34 23.4407 121.4880 28.29 4.43 99 14.30 32 0.30 0.10 0.10 F 339 B
2022-03-23 00:09:58.81 23.3447 121.4212 19.09 4.53 99 4.40 28 0.29 0.10 0.10 F 324 B
2022-03-23 00:10:26.55 23.3460 121.4112 20.65 4.21 48 5.30 111 0.36 0.70 0.60 F 74 B
2022-03-23 01:55:55.97 23.4458 121.4798 26.76 4.74 99 14.60 58 0.30 0.10 0.10 F 221 B
2022-03-23 02:10:01.35 23.4438 121.5018 30.76 4.19 99 15.00 34 0.30 0.10 0.10 F 288 B
2022-03-23 04:25:48.72 23.4520 121.4593 24.19 4.65 99 12.50 34 0.36 0.10 0.10 F 310 B
2022-03-23 04:26:09.29 23.4618 121.4632 23.60 4.07 15 12.60 171 0.28 0.50 0.90 F 30 C
2022-03-23 08:13:45.54 23.4233 121.4768 28.92 4.04 99 12.10 91 0.27 0.10 0.10 F 240 B
2022-03-23 09:18:59.79 23.3105 121.4017 18.46 4.53 99 5.10 79 0.25 0.10 0.10 F 251 B
2022-03-23 09:38:13.35 23.3538 121.4243 20.41 4.29 99 5.00 44 0.32 0.10 0.10 F 244 B
2022-03-23 09:38:47.51 23.3548 121.4217 18.47 4.16 78 5.20 47 0.32 0.10 0.10 F 147 B
2022-03-23 19:21:11.85 23.4325 121.4593 28.48 4.02 99 12.90 108 0.25 0.10 0.10 F 239 B
2022-03-23 20:24:20.75 23.4378 121.4773 28.54 4.07 99 13.70 59 0.28 0.20 0.20 F 261 B
2022-03-23 20:45:29.75 23.4518 121.4865 26.92 4.83 99 15.10 37 0.38 0.10 0.10 F 296 B
2022-03-24 00:38:13.74 23.4417 121.4615 25.63 4.48 99 13.20 81 0.24 0.20 0.20 F 148 B
2022-03-24 00:38:26.08 23.4442 121.4320 25.00 5.71 99 10.40 43 0.40 0.20 0.20 F 305 B
2022-03-24 01:35:10.92 23.4333 121.4460 24.80 4.35 99 12.30 84 0.23 0.10 0.10 F 304 B
2022-03-24 10:03:44.43 23.4398 121.4880 28.64 4.14 99 14.20 58 0.28 0.20 0.20 F 243 B
2022-03-24 10:44:52.33 23.3515 121.4247 19.57 4.18 99 4.70 56 0.26 0.10 0.10 F 254 B
