date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2022-01-02 01:08:45.03 23.9495 121.4718 16.84 3.03 99 2.80 26 0.31 0.10 0.10 F 231 B
2022-01-05 07:36:20.33 24.0703 121.4158 59.90 3.08 84 5.50 20 0.35 0.50 0.60 F 149 A
2022-01-06 00:18:11.72 24.1428 121.4877 2.86 3.19 99 7.10 26 0.42 0.10 0.10 F 200 C
2022-01-07 03:42:23.54 24.1397 121.8177 51.12 3.00 91 19.90 49 0.30 0.20 0.20 F 166 B
2022-01-11 19:27:52.63 24.1443 121.6780 31.07 3.01 99 5.80 43 0.30 0.20 0.20 F 189 B
2022-01-11 23:00:00.64 24.1827 121.9048 31.29 3.25 99 21.10 37 0.32 0.10 0.20 F 244 B
2022-01-12 21:31:00.14 23.8387 121.4325 18.28 3.11 99 3.10 34 0.35 0.20 0.20 F 173 B
2022-01-13 16:49:29.84 24.0453 121.6538 51.17 3.29 99 6.40 35 0.37 0.20 0.20 F 314 B
2022-01-13 23:48:21.59 23.7752 121.6838 45.03 3.40 99 12.40 52 0.32 0.30 0.20 F 192 B
2022-01-17 19:06:35.02 23.9252 121.4565 18.33 4.06 99 5.80 24 0.33 0.10 0.10 F 296 B
2022-01-21 05:05:28.70 23.9723 121.9310 41.21 3.26 99 32.30 33 0.35 0.20 0.20 F 222 B
2022-01-23 11:44:55.01 23.9808 121.8978 38.87 3.01 99 29.00 81 0.38 0.40 0.70 F 247 A
2022-01-25 22:19:14.36 23.9265 121.4560 19.90 3.20 99 5.70 22 0.33 0.10 0.20 F 204 B
2022-01-27 02:36:12.04 24.0777 121.6475 43.41 3.12 64 4.30 65 0.34 0.40 0.40 F 111 B
2022-01-29 06:44:16.62 23.7888 121.4713 8.10 3.24 99 4.00 27 0.37 0.10 0.10 F 242 B
2022-02-01 18:06:24.93 24.0008 121.4173 66.51 3.17 99 2.30 24 0.32 0.20 0.20 F 249 B
2022-02-02 09:01:49.85 24.1897 121.7093 50.05 3.30 93 9.40 50 0.38 0.30 0.30 F 150 B
