date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-11-05 07:34:47.92 24.2383 121.7352 61.69 2.75 66 7.80 50 0.34 0.30 0.30 F 113 B
2021-11-05 08:22:40.69 24.1205 121.6632 50.57 2.40 31 5.80 82 0.34 0.70 0.50 F 56 B
2021-11-05 09:50:29.57 23.8752 121.7383 54.93 2.08 37 20.30 123 0.40 0.50 0.40 F 67 C
2021-11-05 13:45:07.73 23.5038 121.5857 41.34 2.77 68 16.60 86 0.34 0.30 0.30 F 113 B
2021-11-05 21:35:48.49 23.9197 121.4542 19.69 3.50 99 6.40 25 0.32 0.10 0.10 F 265 B
2021-11-06 15:23:05.40 24.0830 121.5248 98.97 2.81 99 8.10 19 0.35 0.30 0.30 F 182 B
2021-11-06 20:51:03.42 23.8415 121.4505 17.43 1.73 26 3.40 73 0.34 0.40 0.50 F 52 B
2021-11-06 22:32:44.50 24.2987 121.9412 27.63 2.24 36 19.60 119 0.28 0.30 0.20 F 61 B
2021-11-07 09:39:35.91 23.8930 121.4447 16.20 2.37 49 9.00 48 0.27 0.20 0.20 F 87 B
2021-11-07 15:36:59.94 23.7568 121.5693 26.66 3.28 99 3.50 58 0.30 0.20 0.10 F 221 B
2021-11-07 19:30:20.12 23.5473 121.5765 42.14 3.17 99 16.70 34 0.32 0.20 0.10 F 294 B
2021-11-07 20:56:39.56 24.0675 121.6518 27.75 2.59 57 5.00 70 0.32 0.30 0.20 F 100 B
2021-11-07 21:41:04.51 23.6812 121.4048 27.82 2.40 52 2.70 42 0.36 0.30 0.30 F 93 B
2021-11-08 00:33:28.87 24.0343 121.5040 16.63 2.89 67 7.70 30 0.32 0.20 0.20 F 130 B
2021-11-08 03:33:40.87 24.1318 121.5928 4.90 1.87 13 4.20 118 0.36 0.50 0.40 F 22 C
2021-11-08 05:03:08.86 23.8262 121.9427 26.04 4.54 99 35.80 49 0.32 0.20 0.30 F 289 C
2021-11-08 09:49:35.98 24.1048 121.7180 55.63 2.90 63 11.30 103 0.32 0.40 0.40 F 107 C
2021-11-08 19:51:40.74 23.8535 121.5413 9.11 1.36 15 7.60 122 0.27 0.30 0.30 F 26 B
2021-11-09 00:40:49.40 23.9333 121.4662 20.27 3.55 99 4.50 26 0.26 0.10 0.20 F 211 B
2021-11-09 03:33:50.71 24.1437 121.6090 2.40 1.15 6 2.20 136 0.12 0.50 0.60 F 10 C
2021-11-09 07:24:14.27 24.0585 121.8515 48.03 2.21 28 25.20 68 0.43 0.70 0.80 F 44 B
2021-11-09 09:10:09.37 24.2780 121.6755 3.13 1.98 6 6.30 152 0.25 0.50 0.50 F 11 C
2021-11-09 09:30:04.73 23.8373 121.4137 14.37 0.85 3 4.00 277 0.07 0.70 0.50 F 6 D
2021-11-10 02:44:53.26 23.7162 121.5157 4.93 2.70 61 3.40 47 0.39 0.20 0.20 F 109 B
2021-11-10 04:10:51.27 23.7112 121.5138 5.31 3.00 96 3.40 73 0.34 0.10 0.10 F 183 B
2021-11-10 07:59:03.02 23.8625 121.8597 45.11 2.73 51 26.60 74 0.32 0.40 0.50 F 84 B
2021-11-10 10:50:04.97 23.9497 121.9337 36.97 2.04 28 32.70 118 0.32 0.40 0.50 F 48 C
2021-11-11 03:38:45.02 24.2782 121.7667 64.70 3.48 99 3.70 48 0.30 0.20 0.10 F 256 B
2021-11-11 09:57:09.94 24.1083 121.6678 55.97 2.33 50 7.10 89 0.44 0.80 1.00 F 100 A
2021-11-11 13:09:39.93 24.1955 121.6563 30.83 2.95 99 5.30 40 0.31 0.20 0.20 F 172 B
2021-11-11 17:14:06.06 23.9883 121.8328 42.70 2.57 78 22.40 68 0.40 0.60 0.80 F 144 A
2021-11-12 13:57:05.30 23.7073 121.9343 33.17 3.26 99 38.90 50 0.35 0.20 0.30 F 244 C
2021-11-12 14:03:55.27 24.0283 121.6220 24.92 2.43 58 6.00 90 0.31 0.20 0.20 F 107 B
2021-11-12 15:05:26.25 24.2340 121.8035 17.72 3.89 99 9.90 48 0.28 0.10 0.10 F 244 B
2021-11-12 15:06:32.90 24.2335 121.8040 18.09 2.27 29 12.50 199 0.21 0.30 0.20 F 57 C
2021-11-12 15:07:30.50 24.2318 121.8098 17.67 2.08 30 13.00 194 0.23 0.30 0.20 F 58 C
2021-11-12 15:11:48.53 24.2338 121.8085 17.46 3.21 99 10.20 46 0.28 0.10 0.10 F 211 B
2021-11-12 16:16:15.80 24.2298 121.8080 18.04 2.98 99 10.50 45 0.25 0.10 0.10 F 210 B
2021-11-12 16:41:55.61 24.1172 121.8103 25.83 1.65 19 19.60 224 0.37 0.70 0.70 F 38 D
2021-11-12 20:29:22.00 23.7727 121.6058 37.47 2.07 36 4.70 183 0.30 0.50 0.40 F 56 C
2021-11-13 02:43:32.72 24.0428 121.5792 34.59 2.36 40 5.00 74 0.26 0.40 0.40 F 72 B
2021-11-13 18:19:15.11 24.1988 121.6662 32.67 2.53 60 6.30 73 0.32 0.30 0.30 F 99 B
2021-11-13 19:28:38.89 24.1317 121.4965 36.89 1.93 14 8.50 98 0.31 0.60 0.60 F 19 C
2021-11-13 19:36:23.19 23.5853 121.8252 16.84 1.72 31 31.40 118 0.32 0.50 0.70 F 53 C
2021-11-13 22:03:54.42 23.8432 121.4387 17.07 3.23 84 3.50 47 0.33 0.20 0.20 F 144 B
2021-11-13 23:48:21.02 23.5253 121.9680 41.67 2.94 62 47.40 130 0.38 0.40 0.80 F 93 C
2021-11-14 02:41:56.97 23.6225 121.8063 38.62 3.12 77 28.00 59 0.34 0.40 0.30 F 124 B
2021-11-14 05:16:48.16 23.9418 121.4685 20.02 3.54 99 3.60 25 0.28 0.10 0.20 F 229 B
2021-11-14 06:28:43.65 24.2663 121.5037 50.61 2.56 41 7.00 51 0.31 0.40 0.40 F 73 B
2021-11-14 06:51:43.60 24.0688 121.6485 30.61 2.81 67 4.60 56 0.31 0.20 0.20 F 125 B
2021-11-14 08:05:02.66 23.6667 121.4842 38.68 2.15 21 11.50 165 0.33 0.60 0.40 F 40 C
2021-11-14 08:07:38.34 24.0842 121.6615 44.78 2.05 14 5.80 179 0.31 0.90 1.00 F 27 C
2021-11-14 08:24:55.16 23.9730 121.6963 37.36 2.61 54 8.40 53 0.30 0.30 0.20 F 102 B
2021-11-14 19:29:40.56 23.5480 121.6783 27.84 2.39 64 22.20 104 0.33 0.30 0.30 F 120 C
2021-11-14 20:52:56.99 24.0712 121.6428 30.74 2.85 99 4.00 49 0.34 0.20 0.20 F 183 B
2021-11-15 11:47:16.97 24.1985 121.6545 31.15 2.64 65 5.50 45 0.28 0.30 0.30 F 123 B
2021-11-15 13:41:39.87 23.5712 121.4883 41.46 2.31 44 10.90 170 0.38 0.50 0.30 F 71 C
2021-11-15 19:23:55.93 23.5483 121.4900 43.00 2.76 80 9.20 88 0.37 0.30 0.30 F 145 B
2021-11-16 19:10:34.10 23.7285 121.8342 24.13 2.63 69 28.40 39 0.33 0.30 0.40 F 124 C
2021-11-16 20:19:05.62 23.9308 121.4588 19.40 2.63 63 5.20 44 0.29 0.20 0.20 F 118 B
2021-11-17 04:01:20.11 23.7727 121.5287 8.26 2.53 47 3.80 105 0.32 0.20 0.20 F 80 C
2021-11-17 13:50:53.05 23.6612 121.4943 34.41 2.54 71 6.90 96 0.31 0.30 0.20 F 134 C
2021-11-17 14:34:34.01 23.7438 121.9032 35.74 3.36 99 35.00 48 0.38 0.30 0.30 F 181 B
2021-11-17 15:56:42.88 24.0880 121.8433 50.42 2.07 40 23.70 98 0.35 0.50 0.40 F 66 C
2021-11-17 19:39:40.30 23.5307 121.9165 29.00 1.94 19 45.90 144 0.33 0.90 1.50 F 35 C
2021-11-17 20:43:01.56 23.9492 121.7215 19.80 1.68 17 18.80 240 0.30 0.50 0.50 F 34 D
2021-11-18 03:38:04.02 23.8912 121.7082 21.84 3.41 99 10.90 39 0.34 0.20 0.10 F 196 B
2021-11-18 09:26:39.29 23.9350 121.6723 46.12 2.04 24 17.60 159 0.36 0.80 0.90 F 48 C
2021-11-18 16:44:28.49 23.6528 121.6690 44.28 3.55 99 13.80 46 0.31 0.20 0.10 F 243 B
2021-11-19 10:57:23.59 23.6527 121.3937 22.41 1.68 19 3.90 103 0.26 0.50 0.50 F 38 B
2021-11-19 20:04:58.31 24.2628 121.6973 30.94 2.84 99 7.20 42 0.27 0.10 0.10 F 193 B
2021-11-19 22:35:09.66 23.8395 121.4225 19.24 2.98 69 3.60 33 0.31 0.20 0.20 F 121 B
2021-11-20 00:06:52.93 23.8098 121.5718 26.40 2.27 28 2.60 183 0.32 0.40 0.40 F 50 D
2021-11-20 04:58:33.38 23.7138 121.5868 37.41 2.95 64 4.10 84 0.35 0.40 0.40 F 109 B
2021-11-20 07:07:07.56 24.0220 121.9355 42.14 2.48 20 34.30 107 0.34 0.90 1.80 F 38 B
2021-11-20 10:43:40.77 23.9852 121.6325 32.42 2.74 99 2.20 81 0.36 0.20 0.20 F 195 B
2021-11-20 15:15:25.03 24.1215 121.7067 8.54 2.40 42 9.40 197 0.34 0.30 0.30 F 74 D
2021-11-20 15:16:16.20 24.1323 121.6765 10.61 1.64 20 6.20 178 0.29 0.30 0.30 F 29 C
2021-11-20 16:33:50.68 24.2013 121.6882 47.53 2.14 42 8.20 83 0.32 0.50 0.40 F 72 B
2021-11-20 22:51:21.11 24.2600 121.7840 54.25 2.30 47 6.40 59 0.34 0.40 0.40 F 85 B
2021-11-21 07:30:32.61 24.1772 121.8353 24.82 2.92 60 16.90 94 0.30 0.30 0.30 F 99 C
2021-11-21 13:17:38.90 24.0143 121.8755 40.13 2.07 32 28.50 115 0.28 0.60 1.00 F 58 B
2021-11-21 13:53:01.55 24.0080 121.6343 41.20 2.79 78 4.20 52 0.34 0.40 0.30 F 145 B
2021-11-22 03:13:03.39 24.0722 121.6348 26.80 2.58 35 3.20 95 0.30 0.40 0.30 F 64 C
2021-11-22 05:45:30.89 24.2608 121.6872 9.54 1.91 24 8.00 168 0.34 0.40 0.70 F 45 C
2021-11-22 15:19:27.96 23.7468 121.6918 45.48 2.12 26 13.90 122 0.30 0.40 0.30 F 45 C
2021-11-22 16:35:17.21 24.1992 121.7800 38.65 2.93 86 15.00 48 0.31 0.30 0.20 F 150 B
2021-11-22 19:01:33.68 23.7573 121.2548 66.49 2.21 47 11.60 43 0.33 0.40 0.50 F 85 B
2021-11-23 12:26:40.84 24.2875 121.7405 16.29 2.24 36 2.40 144 0.25 0.40 0.20 F 61 C
2021-11-23 14:02:58.94 24.1087 121.6687 54.19 2.34 48 7.20 82 0.37 0.60 0.50 F 96 B
2021-11-23 15:25:46.00 23.9217 121.6352 39.31 2.57 58 3.90 120 0.33 0.40 0.40 F 116 C
2021-11-23 15:52:26.69 23.8893 121.7332 46.59 2.46 55 20.70 85 0.30 0.40 0.30 F 109 B
