date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-09-14 17:52:59.16 24.0788 121.9035 44.26 2.65 99 29.80 45 0.32 0.20 0.20 F 201 B
2021-09-15 08:30:36.15 23.6185 121.5423 26.84 2.26 36 9.90 134 0.32 0.30 0.30 F 65 C
2021-09-16 01:42:20.22 23.9250 121.4848 15.18 2.24 34 4.60 52 0.27 0.20 0.30 F 68 B
2021-09-16 02:21:12.17 24.2668 121.7015 5.88 1.80 20 6.60 154 0.37 0.50 0.40 F 40 C
2021-09-16 02:51:42.93 24.2605 121.9845 47.88 3.08 84 22.80 45 0.38 0.20 0.30 F 157 B
2021-09-16 09:51:17.95 23.8072 121.5368 49.47 3.79 99 3.40 29 0.41 0.20 0.20 F 226 B
2021-09-16 21:58:53.36 24.2075 121.7452 43.53 2.55 72 11.10 52 0.29 0.20 0.20 F 135 B
2021-09-17 05:04:19.14 23.7670 121.6990 44.23 2.32 30 14.10 145 0.34 0.40 0.40 F 60 C
2021-09-17 06:40:13.57 23.8795 121.4417 18.41 2.44 58 7.50 40 0.33 0.20 0.20 F 116 B
2021-09-17 07:50:06.74 23.9033 121.8065 43.73 2.25 29 27.90 131 0.34 0.70 1.10 F 58 B
2021-09-17 08:34:55.80 23.5602 121.5772 33.90 2.34 38 16.60 95 0.36 0.40 0.40 F 68 C
2021-09-17 09:13:37.41 24.1270 121.7073 7.48 3.20 77 9.30 84 0.31 0.20 0.20 F 113 C
2021-09-17 11:40:06.40 23.7457 121.6543 36.76 3.45 99 10.40 59 0.31 0.20 0.20 F 204 B
2021-09-17 16:25:28.08 23.7775 121.4767 7.74 2.52 87 5.20 35 0.37 0.10 0.10 F 165 B
2021-09-17 20:50:51.95 24.2508 121.8188 18.34 2.18 43 9.50 89 0.30 0.30 0.20 F 76 B
2021-09-18 00:20:42.59 23.7248 121.7888 33.66 2.88 66 24.10 71 0.37 0.30 0.30 F 116 B
2021-09-18 16:30:42.25 23.8533 121.5985 24.82 2.70 85 5.60 68 0.31 0.20 0.10 F 157 B
2021-09-19 18:32:34.17 24.1183 121.4752 1.92 0.87 11 9.80 68 0.36 0.70 1.20 F 19 C
2021-09-20 03:01:53.99 23.6602 121.5833 31.32 2.68 61 6.40 76 0.31 0.30 0.30 F 109 B
2021-09-20 04:58:08.78 24.1848 121.7688 25.35 2.99 90 13.70 46 0.32 0.20 0.10 F 173 B
2021-09-20 07:05:58.78 24.0415 121.4943 20.61 1.99 27 8.40 53 0.31 0.40 0.50 F 54 B
2021-09-20 12:08:36.71 24.0782 121.2748 6.28 2.55 69 7.20 32 0.31 0.20 0.20 F 112 C
2021-09-21 04:18:09.71 24.2907 121.8633 34.73 2.27 35 11.80 77 0.51 0.50 0.60 F 60 C
2021-09-21 21:24:30.50 23.8518 121.7697 48.61 3.16 84 18.00 65 0.32 0.30 0.30 F 146 B
2021-09-21 23:42:35.27 24.2508 121.7975 22.88 2.46 33 10.50 82 0.35 0.60 1.00 F 63 A
2021-09-22 00:43:21.26 24.2402 121.8243 23.96 2.39 42 13.10 67 0.34 0.20 0.30 F 78 B
2021-09-23 04:20:20.74 23.7188 121.3923 15.01 3.49 96 6.60 43 0.32 0.10 0.10 F 174 B
2021-09-23 07:22:56.75 24.0528 121.3725 69.19 3.50 91 14.30 20 0.43 0.20 0.30 F 182 B
2021-09-23 09:28:01.28 23.8113 121.5102 9.03 3.51 92 6.00 50 0.35 0.20 0.20 F 140 B
2021-09-23 15:43:36.84 23.9015 121.4482 17.12 2.72 62 8.40 47 0.29 0.20 0.20 F 103 B
2021-09-23 17:41:05.67 23.8363 121.4363 18.83 3.20 91 2.80 34 0.31 0.10 0.10 F 154 B
2021-09-24 05:35:43.04 23.7953 121.4258 16.89 2.38 26 2.40 55 0.48 0.80 0.90 F 51 A
2021-09-24 13:34:51.68 23.9785 121.9028 41.07 2.36 55 31.70 61 0.43 0.30 0.50 F 110 B
2021-09-24 17:33:37.13 23.8383 121.4318 16.73 2.48 55 3.10 51 0.29 0.20 0.20 F 96 B
2021-09-24 17:45:22.93 24.1327 121.8133 46.52 2.45 57 19.60 58 0.27 0.30 0.30 F 108 B
2021-09-24 22:28:44.75 23.9263 121.5937 39.15 2.96 99 2.70 44 0.32 0.20 0.20 F 189 B
2021-09-24 22:40:39.22 23.8038 121.7225 3.45 1.55 21 16.40 223 0.29 0.30 0.30 F 40 C
2021-09-25 10:18:37.69 24.1972 121.5818 21.20 2.63 64 2.90 28 0.36 0.20 0.20 F 128 B
2021-09-25 12:24:38.98 23.8415 121.4312 15.94 2.31 50 3.40 53 0.30 0.20 0.20 F 83 B
2021-09-25 13:52:07.23 23.5612 121.5127 45.50 2.01 25 11.80 150 0.30 0.70 0.40 F 49 C
2021-09-25 15:10:11.66 23.5585 121.7397 29.65 2.34 63 25.70 81 0.35 0.40 0.50 F 119 B
2021-09-26 02:06:35.30 24.2773 121.6770 5.23 1.72 13 6.30 149 0.32 0.40 0.20 F 26 C
2021-09-26 06:43:37.81 23.7707 121.7677 43.85 2.46 26 21.00 147 0.27 0.60 0.50 F 46 C
2021-09-26 12:59:41.17 23.8982 121.4715 15.76 2.48 55 7.80 56 0.30 0.20 0.20 F 100 B
2021-09-26 19:46:18.13 23.7695 121.9483 40.57 2.22 44 38.30 94 0.40 0.40 0.90 F 69 C
2021-09-26 21:17:02.84 23.6355 121.6713 45.98 3.09 75 15.00 78 0.31 0.30 0.30 F 119 B
2021-09-27 02:41:22.82 23.7130 121.4567 8.11 1.78 22 5.70 153 0.32 0.30 0.30 F 39 C
2021-09-27 03:29:01.96 24.2568 121.6913 6.68 1.67 28 8.40 122 0.27 0.70 0.50 F 41 B
2021-09-27 03:30:34.47 24.1420 121.6192 4.74 1.73 16 1.80 167 0.31 0.70 0.70 F 27 C
2021-09-27 03:47:37.20 23.6458 121.5608 21.87 1.42 13 13.80 214 0.22 0.70 0.70 F 21 C
2021-09-27 04:00:00.60 23.8730 121.6867 33.12 1.43 27 9.30 93 0.31 0.90 0.70 F 38 B
2021-09-27 07:18:54.17 23.8182 121.4700 7.94 1.35 12 3.00 84 0.43 1.20 0.80 F 20 A
2021-09-27 08:33:22.58 24.1427 121.6158 5.33 1.70 20 1.90 163 0.33 0.70 0.60 F 36 C
2021-09-27 08:36:37.00 24.0390 121.5063 16.08 1.64 13 8.30 58 0.33 0.80 1.20 F 23 A
2021-09-27 09:15:58.87 23.8110 121.7367 42.92 2.45 56 17.10 69 0.32 0.40 0.40 F 102 B
2021-09-27 09:52:30.14 23.8043 121.4518 11.97 1.55 15 1.40 90 0.26 0.70 0.50 F 21 A
2021-09-27 11:07:17.25 24.0427 121.5315 58.93 2.71 64 8.60 62 0.28 0.30 0.30 F 122 B
2021-09-27 11:41:36.54 23.7870 121.4558 8.72 1.47 14 3.10 108 0.33 0.80 0.50 F 19 B
